Numero;lat1;lon1
928;-84.32862;10.37119
929;-84.32804;10.37193
930;-84.3277;10.37246
931;-84.32733;10.37282
932;-84.3271;10.37298
933;-84.32679;10.37316
934;-84.32671;10.37356
935;-84.37474;10.37997
936;-84.37479;10.37997
937;-84.37484;10.37997
938;-84.37487;10.37999
939;-84.37492;10.38005
940;-84.37017;10.38102
941;-84.37002;10.38095
942;-84.36816;10.38027
943;-84.3665;10.37969
944;-84.36617;10.37962
945;-84.36542;10.37952
946;-84.365;10.37946
947;-84.36423;10.37936
948;-84.36323;10.37924
949;-84.36216;10.37906
950;-84.35931;10.37865
951;-84.35871;10.37853
952;-84.35822;10.37839
953;-84.35796;10.3783
954;-84.35788;10.37826
955;-84.35725;10.37798
956;-84.35652;10.37764
957;-84.35474;10.37681
958;-84.35461;10.37675
959;-84.35399;10.37646
960;-84.35366;10.37629
961;-84.35349;10.37623
962;-84.35326;10.37615
963;-84.35312;10.37612
964;-84.35262;10.37608
965;-84.35252;10.37608
966;-84.37503;10.37968
967;-84.3749;10.3798
968;-84.3749;10.3798
969;-84.37491;10.37992
970;-84.37492;10.38005
971;-84.3749;10.3798
972;-84.37474;10.37997
973;-84.34029;10.3891
974;-84.33905;10.38889
975;-84.34079;10.39096
976;-84.33869;10.39061
977;-84.34101;10.38773
978;-84.33934;10.38741
979;-84.34928;10.36862
980;-84.3493;10.3698
981;-84.34932;10.37092
982;-84.34932;10.37101
983;-84.34934;10.37143
984;-84.34935;10.37187
985;-84.34935;10.37199
986;-84.34932;10.37223
987;-84.34927;10.37256
988;-84.34919;10.37308
989;-84.34918;10.37312
990;-84.34915;10.37356
991;-84.34912;10.37403
992;-84.34913;10.37447
993;-84.34911;10.37554
994;-84.34063;10.39001
995;-84.33888;10.38972
996;-84.34211;10.39269
997;-84.33844;10.39181
998;-84.3405;10.3886
999;-84.33915;10.38837
1000;-84.34467;10.37597
1001;-84.3447;10.37602
1002;-84.34474;10.37605
1003;-84.3463;10.37621
1004;-84.33968;10.37032
1005;-84.34069;10.37059
1006;-84.42638;10.32481
1007;-84.42595;10.32488
1008;-84.42569;10.32491
1009;-84.42517;10.32499
1010;-84.42476;10.32512
1011;-84.42438;10.32525
1012;-84.42402;10.32539
1013;-84.42385;10.32547
1014;-84.4237;10.32565
1015;-84.42338;10.326
1016;-84.42336;10.32602
1017;-84.42314;10.32621
1018;-84.42302;10.32628
1019;-84.42296;10.32632
1020;-84.42286;10.32636
1021;-84.33586;10.55575
1022;-84.33577;10.55521
1023;-84.33575;10.55481
1024;-84.33578;10.55432
1025;-84.33581;10.5536
1026;-84.33577;10.55338
1027;-84.33564;10.5531
1028;-84.33525;10.55273
1029;-84.33445;10.55218
1030;-84.33411;10.55194
1031;-84.33391;10.55168
1032;-84.33365;10.55142
1033;-84.3333;10.55121
1034;-84.3329;10.55081
1035;-84.33215;10.55015
1036;-84.33199;10.54993
1037;-84.33182;10.54959
1038;-84.33168;10.54895
1039;-84.33159;10.54849
1040;-84.33158;10.54792
1041;-84.33165;10.5472
1042;-84.33174;10.54681
1043;-84.33179;10.54655
1044;-84.3318;10.5461
1045;-84.33172;10.54548
1046;-84.33173;10.54509
1047;-84.33185;10.54465
1048;-84.33209;10.54414
1049;-84.3321;10.54409
1050;-84.33212;10.54396
1051;-84.33209;10.54376
1052;-84.33185;10.54325
1053;-84.33175;10.54302
1054;-84.33172;10.54286
1055;-84.33172;10.54271
1056;-84.332;10.54141
1057;-84.33247;10.53971
1058;-84.33266;10.53914
1059;-84.33272;10.53885
1060;-84.33272;10.53859
1061;-84.3327;10.53822
1062;-84.33255;10.53767
1063;-84.33251;10.53743
1064;-84.33255;10.53721
1065;-84.33276;10.53678
1066;-84.33293;10.53629
1067;-84.33306;10.53583
